id,staff_name,position,phone
1,Patrick Nguyen,Technician,0871111111
2,Karen Foster,Receptionist,0872222222
3,Ronald Hayes,Manager,0873333333
4,Linda Cox,Cashier,0874444444
5,Steven Price,Technician,0875555555
6,Rachel Murphy,Technician,0823456786
7,Andrew Rivera,Receptionist,0823456787
8,Michelle Sanders,Manager,0823456788
9,Brian Powell,Cashier,0823456789
10,Sandra Jenkins,Technician,0823456790
11,Gary Patterson,Technician,0876666666
12,Donna Butler,Receptionist,0877777777
13,Larry Barnes,Trainer Assist,0878888888
14,Carol Ross,Cashier,0879999999
15,Frank Henderson,Cleaner,0870000000
